Name,Address,District,Assignmode,Primaryormiddle,Quality,WGS84lat,WGS84lon,Correspondmiddle,Correspondmiddle_quality,Correspondmiddle_promoterate
北京市西城区自忠小学,北京市西城区府右街丙27号,Xicheng,Random,primary,3,39.91625604,116.3755245,None,None,0
北京市西城区裕中小学,北京市西城区裕中西里29号,Xicheng,Direct,primary,4,39.96910371,116.3777364,北京市三帆中学,2,0.5
北京市西城区西什库小学,北京市西城区刘兰塑胡同14号,Xicheng,Direct,primary,4,39.92268688,116.3742349,北京市第四中学,1,0.5
北京市西城区西单小学,北京市西城区中京畿道1号,Xicheng,Direct,primary,4,39.90791774,116.3633809,北京市第八中学,2,0.5
北京市西城区西四北四条小学,北京市西城区西四北四条47号,Xicheng,Random,primary,4,39.92713888,116.3622104,None,None,0
北京市西城区进步小学,北京市西城区西外南路榆树馆胡同1号,Xicheng,Random,primary,4,39.93511974,116.3415688,None,None,0
北京市西城区阜成门外第一小学,北京市西城区阜成门外大街甲10号,Xicheng,Random,primary,5,39.92070706,116.34402300000001,None,None,0
北京市西城区陶然亭小学,北京市西城区龙泉胡同5号,Xicheng,Direct,primary,4,39.8763268,116.372745,北京师范大学附属中学,5,0.5
北京市西城区青年湖小学,北京市西城区广外街道鸭子桥北里13号,Xicheng,Random,primary,4,39.87758582,116.3424761,None,None,0
北京市西城区顺城街第一小学,北京市西城区前门西大街135号,Xicheng,Random,primary,4,39.89888006,116.3715112,None,None,0
北京市西城区香厂路小学,北京市西城区香厂路31号,Xicheng,Random,primary,4,39.88674797,116.3861597,None,None,0
北京市西城区鸦儿胡同小学,北京市西城区鸦儿胡同25号,Xicheng,Random,primary,4,39.93962555,116.3858637,None,None,0
北京市西城区黄城根小学,北京市西城区西黄城根北街3号,Xicheng,Random,primary,1,39.92963988,116.3705782,None,None,0
北京市西城区黄城根小学官园校区,北京市西城区官园胡同1号,Xicheng,Random,primary,4,39.93070725,116.3556212,None,None,0
北京市西城外国语学校,北京市西城区西外南路6号,Xicheng,None,middle,3,39.93602428,116.3370888,None,None,0
北京市西颐实验学校,北京市海淀区双榆树南里2区3号,Haidian,None,middle,5,39.96499513,116.3230859,None,None,0
北京市豆各庄中学,北京市朝阳区南豆各庄乡豆各庄村,Chaoyang,None,middle,5,39.864632,116.5618458,None,None,0
北京市金盏学校,北京市朝阳区金盏大街1号,Chaoyang,None,middle,5,40.00205845,116.5615267,None,None,0
