unitprice,name,age,WGS84lat,WGS84lon,lift
77285.88889,紫竹花园,2000,39.94272513,116.2972995,TRUE
136799,北新桥三条1号院,1985,39.94276584,116.4179751,FALSE
65454,正东国际大厦,2004,39.94278414,116.4402006,TRUE
103650,后桃园胡同9号院,1980,39.94289204,116.3544104,FALSE
68157,枣营南里,1987,39.94311816,116.4676017,FALSE
123296.5,后永康胡同2号院4号院,1990,39.94316395,116.4176189,FALSE
94339,诚品建筑,2004,39.94318982,116.2713699,TRUE
99301,京香福苑,2002,39.94319433,116.3993823,TRUE
103113,宝钞胡同,1981,39.9432547,116.393391,FALSE
79689,后永康胡同6号院,1990,39.94326682,116.4167482,FALSE
102418.25,德胜门西大街74号,1986,39.94327621,116.3545537,TRUE
49949.5,嘉慧苑,2000,39.94331823,116.3001111,TRUE
83458.5,曙光花园,2000,39.9433501,116.2852767,TRUE
88812.25,农林科学院宿舍,2004,39.94337728,116.2785101,FALSE
79432,胡家园小区,1992,39.94343104,116.4380714,TRUE
90701,车道沟东里,1986,39.94345246,116.3032758,TRUE
133868.5,熙府桃园,2005,39.9435129,116.3561417,TRUE
94153.5,东直门内北小街16号,2003,39.94356191,116.420928,TRUE
135177,新开胡同,1978,39.94357055,116.3828841,FALSE
138274,北滨河路2号院,1992,39.94388594,116.3482458,FALSE
109416,中海紫金苑,2002,39.94389699,116.3089487,TRUE
108577,车辇店胡同,2001,39.94400336,116.3986117,TRUE
100965,新街口西里二区,2004,39.9440219,116.3607317,FALSE
86395,望福园,2000,39.94406878,116.2747279,FALSE
103238,新街口西里三区,2003,39.94417917,116.3605061,FALSE
93503,中关村南大街48号,1992,39.94418617,116.3196439,FALSE
96110,新街口西里一区,2004,39.94421755,116.3635292,FALSE
71907.5,伯宁花园,1996,39.94425629,116.4676159,TRUE
106226.3333,车道沟10号院,1986,39.94435773,116.2956414,FALSE
138625.5,小石桥胡同11号院,1987,39.94470513,116.3850034,FALSE
139060,小石桥胡同3号院,1989,39.94473591,116.3873163,FALSE
106804.25,花园胡同8号院,1986,39.94478807,116.3974956,FALSE
87004,美林花园,2000,39.94482038,116.3006503,TRUE
113751,安馨园,2003,39.94489582,116.3988352,TRUE
130629,国祥胡同4号院,1988,39.94493329,116.3917159,FALSE
87083.11111,逸翠园,2006,39.94494967,116.5185269,TRUE
105555,金晖嘉园,1998,39.94498361,116.3522481,TRUE
103401.3333,远洋风景,2002,39.94499391,116.3543782,TRUE
119944.5,永康胡同18号院,1985,39.94514378,116.4026309,FALSE
139815,大石桥胡同10号院,1980,39.94518164,116.3839206,FALSE
98446,展览路,1992,39.94523111,116.3304557,FALSE
139673,西绦南巷,2009,39.94524918,116.3848727,FALSE
105027,朗家胡同24号院,1977,39.94534776,116.394677,FALSE
111320,花园胡同,1984,39.94537342,116.3979713,FALSE
117877.5,北官厅胡同,1988,39.94538677,116.4208105,FALSE
85860.66667,舒至嘉园,2003,39.94555802,116.3436263,TRUE
71152,麦子店街,1991,39.94559646,116.4626552,TRUE
102528.5,朗家胡同13号院,1990,39.94560586,116.3956192,FALSE
92343.5,中关村南大街40号,1992,39.94563218,116.3194531,TRUE
66253,枣营北里,1989,39.94567567,116.4635778,FALSE
142942,永康胡同5号院,1982,39.94567708,116.4045153,FALSE
